property,propertyLabel,propertyDescription,domains,ranges
http://www.wikidata.org/entity/P2872,visitor center,official tourist office of this destination,"human-geographic territorial entity, fictional location","destination marketing organization, fictional destination marketing organisation"
http://www.wikidata.org/entity/P2127,International Nuclear Event Scale,international scale for rating nuclear events and accidents,"nuclear incident, nuclear accident",level of INES scale
http://www.wikidata.org/entity/P6569,taxon especially protected in area,"species and other taxa especially protected in a area, whether still actually present or not. Do not use for countries/subnational entities: use red lists properties instead.",protected area,taxon
http://www.wikidata.org/entity/P6803,taxon found at location,"plant or animals taxon described as present in location, not countries or first-level subnational entities. Requires reference. Ref should cover a limited number of taxa for specific location.",,taxon
http://www.wikidata.org/entity/P1196,manner of death,"general circumstances of a person's death; e.g. natural causes, accident, suicide, homicide, etc.  Use 'cause of death' (P509) for the specific physiological mechanism, e.g. heart attack, trauma, pneumonia etc.","character that may or may not be fictional, group of living things, group of fictional characters, individual animal, person, fictional character, organism",manner of death
http://www.wikidata.org/entity/P103,native language,language or languages a person has learned from early childhood,"character that may or may not be fictional, group of humans, legendary figure, person, fictional character, ethnic group",languoid
http://www.wikidata.org/entity/P3776,inhibitor of,"protein for which this chemical compound acts as an inhibitor; only specify the inhibited function if the protein has more than one function (qualifier ""of"")",,"protein, molecular function"
http://www.wikidata.org/entity/P2675,reply to,the intellectual work to which the subsequent work is a direct reply,intellectual work,intellectual work
http://www.wikidata.org/entity/P4101,dissertation submitted to,institution to whom a thesis or dissertation is submitted,"dissertation, thesis","research institute, educational organization"
http://www.wikidata.org/entity/P2684,Kijkwijzer rating,Dutch media content rating system,"television series episode, television program, film",Kijkwijzer rating category
http://www.wikidata.org/entity/P5125,Wikimedia outline,item about an outline of the topic at Wikimedia sites,,Wikimedia outline article
http://www.wikidata.org/entity/P5248,medical evacuation to,site to which those injured are evacuated immediately after a catastrophic event or a battle,"disease outbreak, occurrence",health care structure
http://www.wikidata.org/entity/P3828,wears,clothing or accessory worn on subject's body,"group of humans, group of fictional characters, mythical character, position, stock character, subculture, person, fictional character, profession, organization, sex doll, military","textile, clothing, cosmetics, footwear, prosthesis, accessory, body modification, costume accessory, fashion label, stick, fictional object, fictional clothing"
http://www.wikidata.org/entity/P2673,next crossing upstream,"next crossing of this river, canal, etc. upstream of this subject","ferry route, tunnel, dam, bridge","bridge, dam, tunnel, ferry route"
http://www.wikidata.org/entity/P2674,next crossing downstream,"next crossing of this river, canal, etc. downstream of this subject","ferry route, tunnel, dam, bridge","bridge, dam, tunnel, ferry route"
http://www.wikidata.org/entity/P405,taxon author,the author(s) that (optionally) may be cited with the scientific name,taxon,human
http://www.wikidata.org/entity/P726,candidate,person or party that is an option for an office in this election,"electoral result, election campaign, political campaign, public election","human, political organization, referendum option, political candidate, presidential ticket"
http://www.wikidata.org/entity/P736,cover art by,"name of person or team creating cover artwork for book, record album, single record etc.","periodical issue, version, edition or translation, musical release, comic book, album, extended play","human, organization, twins"
http://www.wikidata.org/entity/P748,appointed by,"who appointed the person to the office, can be used as a qualifier","fictional office, position, or title, position, fictional character, human","human, organization, column, position, legislative term, fictional entity"
http://www.wikidata.org/entity/P1591,defendant,person or organization accused at a trial,"trial, legal case","human, organization, fictional character, corporation, public office, fictional organization"
http://www.wikidata.org/entity/P1592,prosecutor,"person representing the prosecuting authority, at a trial",trial,human
http://www.wikidata.org/entity/P128,regulates (molecular biology),process regulated by a protein or RNA in molecular biology,"biological process, non-coding RNA, protein complex, protein","gene, biological process, molecular function"
http://www.wikidata.org/entity/P2828,corporate officer,person who holds a specific position,organization,human
http://www.wikidata.org/entity/P157,killed by,person who killed the subject,"character that may or may not be fictional, fictional character, human","human, law enforcement, organization, fictional character, mythical character, crowd, group of fictional characters, mythical entity"
http://www.wikidata.org/entity/P127,owned by,owner of the subject,"individual animal, house name, concrete object, artificial object, structure, fictional object, user account, territory, event, identifier, fictional character, brand, protected area, media, trademark, pet, organization, horse, human","school, synagogue, organization, pseudonym, fictional character, administrative division, person, human social group, television channel, anonymous, legal person, fictional organization, mythical character, group of fictional characters, social media account"
http://www.wikidata.org/entity/P3719,regulated by,"organization that acts as regulator of an activity, financial market, or stock exchange",,organization
http://www.wikidata.org/entity/P7010,imprimatur granted by,person or organization authorizing publication of the book,"collection, fictional creative work, version, edition or translation, work, book series, book","organization, fictional character, pseudonym, person, group of humans"
http://www.wikidata.org/entity/P7108,location of the point of view,"geographic location of point of view, may or may not be depicted",visual artwork,"geographic region, perspective, geographical feature, fictional location, physical location"
http://www.wikidata.org/entity/P937,work location,"location where persons or organisations were actively participating in employment, business or other work","human whose existence is disputed, group of humans, legendary figure, group of fictional characters, mythical character, position, notname, specialty, job, working animal, fictional character, organization, profession, human","city, country, watercraft, geographic location, warship, nau, fictional location, physical location"
http://www.wikidata.org/entity/P5186,conjugation class,"conjugation class this lexeme belongs to. On items for languages, use ""has conjugation class"" (P5206)",verb,conjugation class
http://www.wikidata.org/entity/P6437,day of regular release,"day(s) when parts of this creative work are released, aired, published, etc",,"day of the week, point in time with respect to recurrent timeframe, day of the week within a given month, ordinal of day of the week within month"
http://www.wikidata.org/entity/P2715,elected in,"election in which a person gained a position (as qualifier), or a position or legislative term is/was elected (as main value)","legislative term, executive term, plenary session, position, fictional character, human",public election
http://www.wikidata.org/entity/P3803,original film format,"film format used to create a work (aliases: film gauge, film size)","film series, camera, film","film gauge, film format"
http://www.wikidata.org/entity/P22,father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)","hypothetical person, prosopographical phantom, fictional human formerly considered to be historical, character that may or may not be fictional, human whose existence is disputed, group of fictional characters, legendary figure, sibling group, animalisation, mythical character, stillborn child, individual, archaic human, deity, personification, fictional character, animal, human","animal, fictional character, person, mythical character, individual, legendary figure, human whose existence is disputed, character that may or may not be fictional"
http://www.wikidata.org/entity/P3739,inflorescence,placement of flowers on the stem of a flower plant,taxon,inflorescence
http://www.wikidata.org/entity/P1547,depends on software,subject software depends on object software,"software version, fictional software, software bug, software","software, software version"
http://www.wikidata.org/entity/P6978,Scandinavian middle family name,"middle name of some people from Denmark or Norway where a family name, usually the mother's, is taken on as a ""middle name"". For given names based on family names, use ""given name"" (P735). For Spanish names, use P734/P1950.","fictional human, human",family name
http://www.wikidata.org/entity/P2682,is verso of,the two-dimensional artwork that is on the front (recto) side of this artwork,"written work, work of art, document","document, work of art, written work"
http://www.wikidata.org/entity/P2652,partnership with,partnership (commercial or/and non-commercial) between this organization and another organization or institution,"government program, administrative division, organization","organization, administrative division, government program"
http://www.wikidata.org/entity/P163,flag,subject's flag,,"flag, flag or coat of arms, fictional flag"
http://www.wikidata.org/entity/P408,software engine,software engine employed by the subject item,"online catalog, video game bundle, publication by electronic means, web hosting service, video game series, online publication, software framework, application","software, game engine, software framework, game engine version"
http://www.wikidata.org/entity/P3912,newspaper format,"physical size of a newspaper (berliner, broadsheet, tabloid, etc.)",newspaper,newspaper format
http://www.wikidata.org/entity/P4240,regular expression syntax,qualifier to indicate which syntax/variant of regular expressions applies to a particular pattern,,regular expression
http://www.wikidata.org/entity/P1911,increased expression in,this property should link a gene and a disease and indicate that an increased expression of the gene is found in the disease,gene,disease
http://www.wikidata.org/entity/P1910,decreased expression in,indicates that a decreased expression of the subject gene is found in the object disease,gene,disease
http://www.wikidata.org/entity/P1913,gene duplication association with,This property should link a gene and a disease due to a duplication,gene,disease
http://www.wikidata.org/entity/P1915,gene inversion association with,This property should link a gene and a disease due to an inversion,,disease
http://www.wikidata.org/entity/P1914,gene insertion association with,This property should link a gene and a disease due to an insertion,gene,disease
http://www.wikidata.org/entity/P1917,posttranslational modification association with,This property should link a protein-coding gene to a disease where the encoded protein is associated with a posttranslation modification,gene,disease
http://www.wikidata.org/entity/P3966,programming paradigm,programming paradigm in which a programming language is classified,"software library, programming language",programming paradigm
http://www.wikidata.org/entity/P6718,music video,short film integrating this composition with imagery,"music track without lyrics, music track with vocals, single","music video, animated music video"
http://www.wikidata.org/entity/P3592,Saros cycle of eclipse,,"lunar eclipse, solar eclipse",saros series
http://www.wikidata.org/entity/P3679,stock market index,stock market indexes for companies traded on this stock exchange,,stock market index
http://www.wikidata.org/entity/P2632,place of detention,place where this person is or was detained,"character that may or may not be fictional, group of humans, Wikimedia list article, legal case, fictional character, human","citadel, keep, house arrest, architectural structure, fort, mine, penal military unit, fictional location, government building, physical location, Xinjiang internment camps, Holocaust train journey"
http://www.wikidata.org/entity/P5109,has grammatical gender,"specific form of noun class system of a language. Use qualifier ""statement is subject of"" (P805) to link to language specific item if present",languoid,grammatical gender
http://www.wikidata.org/entity/P19,place of birth,"most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character","human whose existence is disputed, group of humans, group of fictional characters, abstract being, person, fictional character, animal","astronomical object, ship, architectural structure, geographic location, mythical location, fictional location, vessel, fictional vessel, geographic entity, location"
http://www.wikidata.org/entity/P2700,protocol,communication protocol to use to access a dataset or service,,communication protocol
http://www.wikidata.org/entity/P167,structure replaced by,"the item which replaced this building or structure, at the same geographic location","artificial geographic entity, architectural structure, geographic region","geographic region, architectural structure, artificial geographic entity"
http://www.wikidata.org/entity/P400,platform,"platform for which a work was developed or released, or the specific platform version of a software product","group of video games, video game accessory, digital artistic drawing, program compilation, fictional video game, game franchise, demogroup, video game publisher, slide show, compilation album, arcade video game machine, display resolution, smart device, tutorial, achievement, ebook, application programming interface, integrated circuit, computer program, user interface, disk magazine, software, database, video game","web browser, Linux, Microsoft Windows, video game console, operating system, macOS, iOS, DOS, desktop environment, computing platform, disk operating system, Classic Mac OS, smart speaker, fictional video game console"
http://www.wikidata.org/entity/P6191,language style,"to denote of the way a sense of a word is used, e.g., slang, vulgarism, babytalk, colloquialism, etc.",,"stylistic device, register, linguistic usus, style, language variety"
http://www.wikidata.org/entity/P140,religion or worldview,"religion of a person, organization or religious building, or associated with this subject","religious occupation, religious symbol, human whose existence is disputed, artificial geographic entity, mythical entity, aspect of history, religious concept, group of humans, religious object, fictional entity, position, religious adherent, religious belief, ceremony, artificial physical object, religious behaviour, rite of passage, work of art, rite, religious and cultural festive day, scandal, literary genre, iconography, ritual, deity, sacred architecture, organization, prayer, human","social structure, religious movement, religious organization, religious identity, group of humans, fictional religion, religion or world view"
http://www.wikidata.org/entity/P6902,era name,era name for rulers in East Asia,human,era name
http://www.wikidata.org/entity/P6166,quotes work,"other creative work which this work quotes from textually, verbally or lyrically",work,work
http://www.wikidata.org/entity/P1165,home world,home planet or natural satellite for a fictional character or species,"group of fictional characters, class of fictional entities, fictional taxon, fictional government, Middle-earth race, fictional character","astronomical object, fictional location"
http://www.wikidata.org/entity/P5133,has evaluation,evaluation or interpretation corresponding to the subject attribute or examination,"molecular function, medical attribute, physical examination","medical finding, chemical test"
http://www.wikidata.org/entity/P114,airline alliance,alliance the airline belongs to,airline,airline alliance
http://www.wikidata.org/entity/P425,field of this occupation,"field corresponding to this occupation or profession (use only for occupations/professions - for people use Property:P101, for companies use P452)","fictional profession, occupation, activity, profession","knowledge, specialty, area of law, medical specialty, field of work, service, occupation, activity, music by instrument, academic discipline, fictional activity, aspect of history, music tradition"
http://www.wikidata.org/entity/P5059,modified version of,indicates the work or one of its versions which served as a basis for the adaptation or arrangement resulting in the given version of the work,work,work
http://www.wikidata.org/entity/P4743,animal breed,"subject item belongs to a specific group of domestic animals, generally given by association","individual organism, mythical animal, domesticated animal, fictional character, pet","dog type, breed, cat coat, crossbreed"
http://www.wikidata.org/entity/P1990,species kept,"taxa, preferably species, present at a zoo, botanical garden,  collection, or other institution. NOT specific animals, not for any geographic location","hatchery, public aquarium, game reserve, amusement park, herbarium, botanical garden, greenhouse, zoo, museum","breed, taxon, common name"
http://www.wikidata.org/entity/P3815,volcano observatory,institution that monitors this volcanic landform or phenomenon,"volcanic phenomenon, volcanic landform",volcano observatory
http://www.wikidata.org/entity/P6440,maintenance method,"method or steps that maintain, clean up, or repair this item and lengthens its lifespan",,activity
http://www.wikidata.org/entity/P3643,significant environmental impact,environmental issue determined to have a significant impact on the subject,,"environmental issue, environmental process"
http://www.wikidata.org/entity/P3967,final event,final event of a competition,event,occurrence
http://www.wikidata.org/entity/P1462,standards body,organisation that published or maintains the standard governing an item,,"organization, standards organization"
http://www.wikidata.org/entity/P115,home venue,home stadium or venue of a sports team or applicable performing arts organization,"sports season, sporting event, sports competition, sports organization, musical ensemble",architectural structure
http://www.wikidata.org/entity/P3985,supports programming language,programming language which is supported by this programming tool,,computer language
http://www.wikidata.org/entity/P4290,official app,"official app for this organization or other entity (a downloadable application for Android, iOS, etc.)",,mobile app
http://www.wikidata.org/entity/P3713,category for value not in Wikidata,item for categories of pages with template parameter value not as property value in  Wikidata,Wikidata property,Wikimedia category
http://www.wikidata.org/entity/P403,mouth of the watercourse,the body of water to which the watercourse drains,"lake system, mythical river, fictional river, still waters, drainage system, wadi, spring, valley, watercourse, glacier, body of water","body of water, sewer network, valley, wadi, still waters, fictional body of water"
http://www.wikidata.org/entity/P5138,season of club or team,club or team that played the season,"nation at sport competition, sports season of a sports club","national sports team, sports club, sports team"
http://www.wikidata.org/entity/P1582,natural product of taxon,"links a natural product with its source (animal, plant, fungal, algal, etc.)",,"taxon, common name, organisms known by a particular common name"
http://www.wikidata.org/entity/P1605,has natural reservoir,host species for the pathogen in which it is endemic,taxon,taxon
http://www.wikidata.org/entity/P768,electoral district,"electoral district this person is representing, or of the office that is being contested. Use as qualifier for ""position held"" (P39) or ""office contested"" (P541) or ""candidacy in election"" (P3602)",human,"municipality, electoral unit, territorial authority of New Zealand, county, administrative territorial entity of New Zealand"
http://www.wikidata.org/entity/P5110,has grammatical person,grammatical feature relating to the identity of participants in an event,languoid,grammatical person
http://www.wikidata.org/entity/P1876,vessel,"vessel involved in this mission, navigation or event",,"vehicle, aircraft family, vehicle model, vehicle family"
http://www.wikidata.org/entity/P418,"has seal, badge, or sigil",links to the item for the subject's seal,,seal
http://www.wikidata.org/entity/P406,soundtrack release,music release that incorporates music directly recorded from the soundtrack of an audiovisual work,"group of works, work","single, extended play, album"
http://www.wikidata.org/entity/P2647,source of material,"place the material used was mined, quarried, found, or produced",,geographic location
http://www.wikidata.org/entity/P1906,office held by head of state,political office that is fulfilled by the head of state of this item,"designation for an administrative territorial entity, fictional country, historical country, state of Australia, state","head of state, position, fictional head of state, fictional office, position, or title"
http://www.wikidata.org/entity/P1595,charge,"offence with which someone is charged, at a trial","witchcraft investigation, trial","crime, violation of law, religious offense"
http://www.wikidata.org/entity/P4661,reservoir created,reservoir created upstream of a dam by this dam,"hydroelectric power station, dam",reservoir
http://www.wikidata.org/entity/P3610,fare zone,fare zone that the station is in,"bus route, public transport stop",fare zone
http://www.wikidata.org/entity/P4202,WFD Chemical status,chemical status of a Water Body in accordance with the Water Framework directive of the  European Environment Agency,waterbody,chemical status
http://www.wikidata.org/entity/P1950,second family name in Spanish name,second (generally maternal) family name in Spanish names (do not use for other double barrelled names) and in some French names.,"fictional character, human","family name, matriname"
http://www.wikidata.org/entity/P4809,sets environment variable,an environment variable which a software program sets,software,environment variable
http://www.wikidata.org/entity/P5132,suggests the existence of,medical conditions associated with the subject medical finding,medical finding,physiological condition
http://www.wikidata.org/entity/P129,physically interacts with,physical entity that the subject interacts with,"group or class of physical objects, concrete object, force","concrete object, group or class of physical objects"
http://www.wikidata.org/entity/P2875,property usage tracking category,category tracking a Wikidata property in sister projects,,Wikimedia category
http://www.wikidata.org/entity/P1221,compressor type,type of mechanical compressor technology used by subject,aircraft engine,compressor
http://www.wikidata.org/entity/P1596,penalty,penalty imposed by an authority,,"punishment, sentence"
http://www.wikidata.org/entity/P1445,fictional universe described in,"to link a fictional universe with a work that describes it: <universe> ""described in the work:"" <work>","literary cycle, fictional universe, mythology",work
http://www.wikidata.org/entity/P1898,lowest note,lowest note that an instrument can play or singer can sing,"musical instrument, human",note
http://www.wikidata.org/entity/P7086,start grade,lowest educational year (aka grade) taught by this institution,school,educational year
http://www.wikidata.org/entity/P4220,order of battle,arrangement of units and hierarchical organization of the armed forces involved in the specified military action,"military operation, conflict",order of battle
http://www.wikidata.org/entity/P1558,tempo marking,qualitative indication about the speed or pace of a given musical piece (use P1725 for numerical tempo markings),musical work,tempo
http://www.wikidata.org/entity/P1227,astronomical filter,passband used to isolate particular sections of the electromagnetic spectrum,astronomical object,"color index, astronomical filter, astronomical passband"
http://www.wikidata.org/entity/P1884,hair color,person's hair color. Use P585 as qualifier if there's more than one value,"virtual talent, doll or action figure model, character that may or may not be fictional, fictional taxon, alter ego, fictional character, sex doll, human",human hair color
http://www.wikidata.org/entity/P2643,Carnegie Classification of Institutions of Higher Education,classification of colleges and universities in the United States,,Carnegie Classification of Institutions of Higher Education
http://www.wikidata.org/entity/P747,has edition or translation,link to an edition of this item,"license scheme, work","work, version, edition or translation, dubbing of television series episode, lyrical text translated using paraphrasing, revoiced work, translated song"
http://www.wikidata.org/entity/P3022,flag bearer,person who carries the national flag of their country at an opening or closing ceremony,nation at competition,human
http://www.wikidata.org/entity/P3080,game artist,"game artist(s) that produced art assets for a role-playing games, collectible card games, video game, etc.","disk magazine issue, collectible card game, downloadable content, slide show, video game expansion pack, role-playing game, disk magazine, video game",human
http://www.wikidata.org/entity/P176,manufacturer,(main or final) manufacturer or producer of this product,"fictional product model, product model, concrete object, model series, physical object, software","human, animal, profession, organization, industry, fictional character, factory, artisan, group of fictional characters"
http://www.wikidata.org/entity/P6426,RightsStatements.org statement according to source website,standardized RightsStatements.org rights statement that owning institution or similar authority has applied to this work,,RightsStatements.org statement
http://www.wikidata.org/entity/P7087,inverse label item,item with label/aliases of the inverse relationship of a property,Wikidata property,inverse property label item
http://www.wikidata.org/entity/P2667,corresponding template,the one-value-template that has the same meaning as this property,Wikidata property,Wikimedia template
http://www.wikidata.org/entity/P4745,is proceedings from,this work contains articles presented at the given event,publication,event
http://www.wikidata.org/entity/P2817,appears in the heritage monument list,heritage monument is a part of the list of heritage monuments,"artificial physical object, geographical feature",Wikimedia list article
http://www.wikidata.org/entity/P751,introduced feature,feature introduced by this version of a product item,work,software feature
http://www.wikidata.org/entity/P756,removed feature,which feature was removed by this version of a product item,work,"software feature, emoji"
http://www.wikidata.org/entity/P143,imported from Wikimedia project,source of this claim's value; used in references section by bots or humans importing data from Wikimedia projects,,"Wikimedia Foundation project, Wikidata tool, Wikimedia Phabricator, database derived from Wikimedia projects"
http://www.wikidata.org/entity/P5249,sports competition competed at,edition of sports competitions at which the club or team that played a season competed at. Use this to link items for team seasons to items for specific seasons of competitions.Sample: 2012–13 FC Barcelona season → 2012–13 UEFA Champions League,"club at sport competition, nation at competition, sports season of a sports club",sports competition
http://www.wikidata.org/entity/P5317,jockey,person riding the horse in the race,,human
http://www.wikidata.org/entity/P170,creator,maker of this creative work or other object (where no more specific property exists),"human activity, hypothetical entity, item of collection or exhibition, group of works, social media account, artificial object, fictional entity, campaign, attraction, statement, product, event, genre, brand, work, agreement, symbol, concept, project, system","human, animal, software, machine, organization, optical telescope, group of fictional characters, group of humans, collective pseudonym, agent, dressage horse"
http://www.wikidata.org/entity/P1454,legal form,legal form of an entity,"fictional organization, periodical, juridical person, organization, human",legal form
http://www.wikidata.org/entity/P1151,topic's main Wikimedia portal,Wikimedia portal associated with this topic,,Wikimedia portal
http://www.wikidata.org/entity/P1171,approximation algorithm,method used to approximate a number,"number, function",approximation algorithm
http://www.wikidata.org/entity/P1192,connecting service,service stopping at a station,public transport stop,"transport route, train and rail category"
http://www.wikidata.org/entity/P1202,carries scientific instrument,"scientific instruments carried by a vessel, satellite, or device that are not required for propelling or navigating","payload, observatory, vehicle, telescope","measurement tool, scientific instrument"
http://www.wikidata.org/entity/P2668,stability of property value,likelihood that statements with this property will change,Wikidata property,Wikidata property change frequency
http://www.wikidata.org/entity/P172,ethnic group,"subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themselves, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)","aspect by ethnic group, ethnic community, human whose existence is disputed, cultural festival, gender minority, political movement, legendary figure, mythical character, mythical creature, sexual identity, person, sexual minority, music genre, diaspora, fictional character, gender identity, language, family","nation, ethnic group, Indigenous people, tribe, human population, nationality, fictional ethnic group, human race, people, ethnic community, ethnolinguistic group, ethnic or cultural group in fiction, fictional species, mythical ethnic group"
http://www.wikidata.org/entity/P2392,teaching method,teaching method adopted by an educational institution,educational institution,teaching method
http://www.wikidata.org/entity/P2922,month of the year,"month of the year during which this item occurs, applies to or is valid in",,month
http://www.wikidata.org/entity/P5150,IGAC rating,rating of a film or theatrical production in the Portuguese classification system,"theatrical production, film",IGAC rating category
http://www.wikidata.org/entity/P5206,has conjugation class,"conjugation pattern for group of verbs in the language. Use on items for languages. For lexemes, use ""conjugation class"" (P5186).",languoid,conjugation class
http://www.wikidata.org/entity/P112,founded by,"founder or co-founder of this organization, religion or place","lost Roman Catholic diocese, fictional religion, group of humans, business, fictional organization, group of fictional characters, diocese of the Catholic Church, branch of pseudoscience, serial, campaign, fictional location, collection, event, architectural structure, specialty, publication, apostolic vicariate, award, company, geographical feature, community, system, project, social movement, website, type of sport, organization, record label, game, religion, ideology","human, government, organization, magazine, fictional character, person, private railway, legendary figure, group of humans, human whose existence is disputed, fictional human, fictional artificial intelligence, rail company (Japan)"
http://www.wikidata.org/entity/P123,publisher,"organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software","group of manifestations, musical work/composition, digital artistic drawing, license scheme, ranked list, portfolio, program compilation, group of video games often treated as a singular game, group of musical works, written work, video game series, literary work, version, edition or translation, online publication, rule, slide show, certification, manifestation, game, book, software","human, newspaper, website, radio station, administrative division, organization, samizdat, software developer, brand, government agency, periodical, television channel, publisher, YouTube channel, business register"
http://www.wikidata.org/entity/P126,maintained by,person or organization in charge of keeping the subject (for instance an infrastructure) in functioning order,,"human, organization, position, fictional organization, facility"
http://www.wikidata.org/entity/P1456,list of monuments,link to the list of heritage monuments in the place/area,geographic location,Wikimedia list article
http://www.wikidata.org/entity/P1811,list of episodes,link to the article with the list of episodes for this series,"podcast, radio series, audiovisual work",Wikimedia list article
http://www.wikidata.org/entity/P1881,list of characters,Wikimedia page with the list of characters for this work,"fictional collective entity, group of works, work",Wikimedia list article
http://www.wikidata.org/entity/P2408,set in period,"historical, contemporary, or future period, year, century or day the work or genre is set in or event featured in the story of the work","genre, work","archaeological age, fictional calendar day, fictional day, fictional holiday, fictional historical period, fictional occurrence, temporal entity"
http://www.wikidata.org/entity/P2379,deprecated in version,software version it was deprecated in,,software version
http://www.wikidata.org/entity/P2876,type of unit for this property,units for this property are all instances of this item,"Wikidata property for quantities, Wikidata property related to time and duration","currency, unit of measurement"
http://www.wikidata.org/entity/P201,lake outflow,"rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation","lake system, hydraulic structure, spring, body of water","body of water, evaporation, watercourse"
http://www.wikidata.org/entity/P144,based on,the work(s) used as the basis for subject item,"conjugation class, group of works, license scheme, artificial object, fictional entity, legal form, sign, format, grammatical category, genre, work, musical group, theorem, language, writing system","writing system, game, theory, type of sport, language, theorem, genre, dance move, work, grammatical category, legal form, format, legendary figure, sign, creative work, group of works, artificial object, license scheme, imaginary character, mythical entity, conjugation class"
http://www.wikidata.org/entity/P423,shooting handedness,whether the hockey player passes or shoots left- or right-handed,"fictional human, person",laterality
http://www.wikidata.org/entity/P1956,takeoff and landing capability,type of takeoff and landing the aircraft is designed to operate,aircraft,"aircraft undercarriage class, takeoff and landing"
http://www.wikidata.org/entity/P2842,place of marriage,"location where the marriage was celebrated. Use as qualifier for property ""spouse"" (P26)",,"ship, club, register office, geographical feature, event, fictional location, human-geographic territorial entity"
http://www.wikidata.org/entity/P194,legislative body,"legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council","regional organization, fictional country, political territorial entity, administrative division, government","legislature, local government, legislative house, group of assemblies, fictional government, government commission"
http://www.wikidata.org/entity/P2976,patronym or matronym for this name,patronym or matronym based on this given name,given name,"patronymic, matronymic, patronymic family name, after-name, matronymic family name"
http://www.wikidata.org/entity/P1029,crew member(s),person(s) that participated operating or serving aboard this vehicle,,"human, fictional character"
http://www.wikidata.org/entity/P1037,director / manager,person who manages any kind of group,"assembly (the subject of article 11 ECHR), fictional organization, event, organization","human, fictional character"
http://www.wikidata.org/entity/P1066,student of,person who has taught this person,"fictional character, entity, human","human, fictional character, deity, group of humans, human whose existence is disputed"
http://www.wikidata.org/entity/P4770,hydrated form of,given compound is an anhydrous form of this compound,hydrate,type of chemical entity
http://www.wikidata.org/entity/P5030,talk show guest,person invited in a talk show,"morning show episode, talk show episode, podcast episode, radio series episode, television series episode, television series season, radio program","human, group of humans"
http://www.wikidata.org/entity/P40,child,"subject has object as child. Do not use for stepchildren—use ""relative"" (P1038), qualified with ""type of kinship"" (P1039)","imaginary character, hypothetical person, character that may or may not be fictional, sibling group, mythical animal, human whose existence is disputed, legendary figure, mythical character, married couple, individual, animalisation, couple, person, deity, personification, fictional character, cultivar, animal","human, animal, fictional character, cultivar, personification, deity, individual, animalisation, mythical character, sibling group, imaginary character, character that may or may not be fictional, fictional sibling group, legendary figure, human whose existence is disputed, fictional human formerly considered to be historical, hypothetical person, mythical animal"
http://www.wikidata.org/entity/P57,director,"director(s) of film, TV-series, stageplay, video game or similar","group of video games often treated as a singular game, VR experience, dramatico-musical work, season, performing arts production, dubbing of film, podcast, fictional creative work, radio series, radio drama, audiovisual work, Jatra, film series, play, performance, film, television program, video game",human
http://www.wikidata.org/entity/P58,screenwriter,person(s) who wrote the script for subject item,work,"human, married couple, collective pseudonym, duo, group of humans, sibling duo"
http://www.wikidata.org/entity/P86,composer,"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]","instrumental composition, group of works, work","human, musical group, special purpose artist"
http://www.wikidata.org/entity/P88,commissioned by,person or organization that commissioned this work,"group of works, artificial object, product, work, project","human, magazine, organization, competition, arts festival, fictional organization, administrative territorial entity of a single country"
http://www.wikidata.org/entity/P98,editor,"person who checks and correct a work (such as a book, newspaper, academic journal, etc.) to comply with a rules of certain genre","editorial team, editorial board, edited volume, version, edition or translation, survey methodology, periodical, work, news agency, anthology, magazine","human, organization"
http://www.wikidata.org/entity/P5236,prime factor,one of the prime numbers that can be multiplied to give this number,natural number,prime number
http://www.wikidata.org/entity/P136,genre,creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic,"anatomical atlas, dictionary of a specific language, mythical object, podcast, group of works, literary work, picture dictionary, group of humans, season, artificial object, occupation, duo, show, game jam, musical ensemble, medical dictionary, bibliography, arts festival, diwan, music award, theatrical troupe, double act, original net animation, music festival, radio format, netlabel, competition, work, literary award, genre, musical group, literary genre, profession, record label, film, television program, game, book, human","criticism, music genre, genre, technical standard, artistic theme, literary genre, art style, diwan, musical form, Geistesgeschichte, literary form, medical dictionary, musical style, subject of depiction, type of arts, discussion, software category, audio content genre, religious song, song type"
http://www.wikidata.org/entity/P135,movement,"literary, artistic, scientific or philosophical movement or scene associated with this person or work. For political ideologies use P1142.","work, fictional character, organization, human, group of works, group of humans, collection, event, architectural structure","social movement, art movement, subculture, school of thought, art style, cultural movement, pseudo-scholarship, philosophical school, political movement, religious movement, religious philosophy, Golden age, group action, literary group, musical scene, philosophical movement, style of painting, fictional philosophical movement"
http://www.wikidata.org/entity/P177,crosses,"obstacle (body of water, road, railway...) which this bridge (ferry, ford) crosses over or this tunnel goes under","crossing, ferry route, fictional building, fixed construction, ferry ship, ford",geographical feature
http://www.wikidata.org/entity/P5280,radical,radical of Chinese character,"kanji character, Chinese character",radical
